StartTime,Status,Distance
13:00,ABS,18
16:00,ABS,18
16:00,P,18
10:00,PWR,18
13:00,P,18
13:00,P,18
11:00,P,18
11:00,P,18
16:00,P,18
11:00,ABS,18
11:00,P,18
16:00,P,18
11:00,P,18
11:00,P,18
10:00,P,18
16:00,P,18
10:00,ABS,18
15:00,P,18
09:00,ABS,18
09:00,P,18
15:00,P,18
10:00,ABS,18
15:00,ABS,18
09:00,ABS,18
10:00,P,18
09:00,P,18
15:00,P,18
15:00,P,18
10:00,P,18
10:00,P,18
09:00,ABS,18
10:00,ABS,18
15:00,ABS,18
09:00,ABS,18
15:00,P,18
10:00,ABS,18
09:00,P,18
10:00,ABS,18
10:00,ABS,18
15:00,ABS,18
09:00,ABS,18
